"","file","branch","model","predictors","accuracy"
"310",1,2,"QDA","channel_ip",0.988411588411588
"311",1,2,"SVM","channel_ip",0.988411588411588
"312",1,2,"NaiveBayes","channel_ip",0.0115884115884116
"313",1,2,"Logistic Regression","app+ip_app",0.988811188811189
"314",1,2,"LDA","app+ip_app",0.975624375624376
"315",1,2,"QDA","app+ip_app",0.977022977022977
"316",1,2,"SVM","app+ip_app",0.988411588411588
"317",1,2,"NaiveBayes","app+ip_app",0.0115884115884116
"318",1,2,"Logistic Regression","app+device+ip_app",0.989210789210789
"319",1,2,"LDA","app+device+ip_app",0.980819180819181
"320",1,2,"QDA","app+device+ip_app",0.990809190809191
"321",1,2,"SVM","app+device+ip_app",0.988811188811189
"322",1,2,"NaiveBayes","app+device+ip_app",0.0115884115884116
"323",1,2,"Logistic Regression","device+ip_app+channel_app+channel_ip",0.989010989010989
"324",1,2,"LDA","device+ip_app+channel_app+channel_ip",0.976423576423576
"325",1,2,"QDA","device+ip_app+channel_app+channel_ip",0.984615384615385
"326",1,2,"SVM","device+ip_app+channel_app+channel_ip",0.988811188811189
"327",1,2,"NaiveBayes","device+ip_app+channel_app+channel_ip",0.0115884115884116
"328",1,2,"Logistic Regression","device+os+ip_app+channel_app+channel_ip",0.989010989010989
"329",1,2,"LDA","device+os+ip_app+channel_app+channel_ip",0.975624375624376
"330",1,2,"QDA","device+os+ip_app+channel_app+channel_ip",0.983816183816184
"331",1,2,"SVM","device+os+ip_app+channel_app+channel_ip",0.988811188811189
"332",1,2,"NaiveBayes","device+os+ip_app+channel_app+channel_ip",0.0115884115884116
"333",1,2,"Logistic Regression","device+os+hour+ip_app+channel_app+channel_ip",0.989010989010989
"334",1,2,"LDA","device+os+hour+ip_app+channel_app+channel_ip",0.975424575424575
"335",1,2,"QDA","device+os+hour+ip_app+channel_app+channel_ip",0.983816183816184
"336",1,2,"SVM","device+os+hour+ip_app+channel_app+channel_ip",0.988811188811189
"337",1,2,"NaiveBayes","device+os+hour+ip_app+channel_app+channel_ip",0.0115884115884116
"338",1,2,"Logistic Regression","ip+app+device+os+channel+hour+channel_ip_app",0.989010989010989
"339",1,2,"LDA","ip+app+device+os+channel+hour+channel_ip_app",0.975424575424575
"340",1,2,"SVM","ip+app+device+os+channel+hour+channel_ip_app",0.988811188811189
"341",1,2,"NaiveBayes","ip+app+device+os+channel+hour+channel_ip_app",0.0115884115884116
"342",1,2,"Logistic Regression","ip+app+device+os+channel+hour+ip_app+channel_ip",0.989010989010989
"343",1,2,"LDA","ip+app+device+os+channel+hour+ip_app+channel_ip",0.975424575424575
"344",1,2,"SVM","ip+app+device+os+channel+hour+ip_app+channel_ip",0.988811188811189
"345",1,2,"NaiveBayes","ip+app+device+os+channel+hour+ip_app+channel_ip",0.0115884115884116
"346",1,3,"Logistic Regression","ip",0.849110075219833
"347",1,3,"LDA","ip",0.849110075219833
"348",1,3,"QDA","ip",0.843680474626549
"349",1,3,"SVM","ip",0.849110075219833
"350",1,3,"NaiveBayes","ip",0.849110075219833
"351",1,3,"Logistic Regression","ip+app",0.849110075219833
"352",1,3,"LDA","ip+app",0.849110075219833
"353",1,3,"QDA","ip+app",0.843918847335523
"354",1,3,"SVM","ip+app",0.849110075219833
"355",1,3,"NaiveBayes","ip+app",0.849110075219833
"356",1,3,"Logistic Regression","ip+app+os",0.849110075219833
"357",1,3,"LDA","ip+app+os",0.849110075219833
