"","file","branch","model","predictors","accuracy","TP","FN","FP","TN","accuracy_cMatrix"
"207",0,6,"NaiveBayes","app+channel+ip_app+channel_app",0.0193711906342405,0,321,0,16250,0.0193711906342405
"208",0,6,"Logistic Regression","app+device+channel+ip_app+channel_app",0.980568462977491,319,2,16247,3,0.980568462977491
"209",0,6,"LDA","app+device+channel+ip_app+channel_app",0.976826986904834,298,23,16164,86,0.976826986904834
"210",0,6,"QDA","app+device+channel+ip_app+channel_app",0.96481805563937,264,57,15931,319,0.96481805563937
"211",0,6,"SVM","app+device+channel+ip_app+channel_app",0.980628809365759,321,0,16250,0,0.980628809365759
"212",0,6,"NaiveBayes","app+device+channel+ip_app+channel_app",0.0193711906342405,0,321,0,16250,0.0193711906342405
"213",0,6,"Logistic Regression","app+device+channel+ip_app+channel_app+channel_ip_app",0.980508116589222,319,2,16246,4,0.980508116589222
"214",0,6,"LDA","app+device+channel+ip_app+channel_app+channel_ip_app",0.97700802606964,292,29,16161,89,0.97700802606964
"215",0,6,"QDA","app+device+channel+ip_app+channel_app+channel_ip_app",0.963430088709191,256,65,15900,350,0.963430088709191
"216",0,6,"SVM","app+device+channel+ip_app+channel_app+channel_ip_app",0.980628809365759,321,0,16250,0,0.980628809365759
"217",0,6,"NaiveBayes","app+device+channel+ip_app+channel_app+channel_ip_app",0.0193711906342405,0,321,0,16250,0.0193711906342405
"218",0,6,"Logistic Regression","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.980508116589222,319,2,16246,4,0.980508116589222
"219",0,6,"LDA","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.977249411622714,288,33,16161,89,0.977249411622714
"220",0,6,"QDA","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.961559350672862,253,68,15866,384,0.961559350672862
"221",0,6,"SVM","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.980628809365759,321,0,16250,0,0.980628809365759
"222",0,6,"NaiveBayes","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.0193711906342405,0,321,0,16250,0.0193711906342405
